"","date","config","pass","optimizer","change_threshold","patience","stopping_var","seed","l1_factor","l2_factor","learning_rate_1","decay_1","dropout_scheme","which_units","layer_1","layer_2","layer_3","layer_4","layer_5","layer_6","layer_7","layer_8","layer_9","layer_10","layer_11","layer_12","layer_13","layer_14","layer_15","layer_16","layer_17","layer_18","layer_19","layer_20","layer_21","layer_22","epochs","batch_size","train_val_split","train_MAE","train_MAE_at_best_val","val_MAE","best_epoch_val","best_MAE_val","test_MAE"
"12","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",12,"sgd",0.001,10,"val_loss",953348,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0603276489802161,NA,NA,205.790450297668
"13","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",13,"sgd",0.001,10,"val_loss",675566,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0711191821630757,NA,NA,205.790450297668
"14","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",14,"sgd",0.001,10,"val_loss",794728,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0712714684101709,NA,NA,205.790450297668
"15","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",15,"sgd",0.001,10,"val_loss",367325,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0549020289153339,NA,NA,205.790450297668
"16","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",16,"sgd",0.001,10,"val_loss",645630,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0689773017251687,NA,NA,205.790450297668
"17","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",17,"sgd",0.001,10,"val_loss",326095,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0798839277202444,NA,NA,205.790450297668
"18","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",18,"sgd",0.001,10,"val_loss",895750,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0733133796105311,NA,NA,205.790450297668
"19","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",19,"sgd",0.001,10,"val_loss",521653,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0891850750041797,NA,NA,205.790450297668
"20","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",20,"sgd",0.001,10,"val_loss",135953,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0490259215355062,NA,NA,205.790450297668
"21","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",21,"sgd",0.001,10,"val_loss",589437,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0646018985456115,NA,NA,205.790450297668
