"","date","config","pass","optimizer","change_threshold","patience","stopping_var","seed","l1_factor","l2_factor","learning_rate_1","decay_1","dropout_scheme","which_units","layer_1","layer_2","layer_3","layer_4","layer_5","layer_6","layer_7","layer_8","layer_9","layer_10","layer_11","layer_12","layer_13","layer_14","layer_15","layer_16","layer_17","layer_18","layer_19","layer_20","layer_21","layer_22","epochs","batch_size","train_val_split","train_MAE","train_MAE_at_best_val","val_MAE","best_epoch_val","best_MAE_val","test_MAE"
"1","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",1,"sgd",0.001,10,"val_loss",986240,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0470656674436253,0.0479851082453261,0.0584714329152396,15,0.057856497213696,316.125148743764
"2","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",2,"sgd",0.001,10,"val_loss",420528,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0541876523208845,0.0669575598718517,0.0746553362996289,9,0.0760942504487254,205.790450297668
"3","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",3,"sgd",0.001,10,"val_loss",259878,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0454937615026922,0.0491097110485577,0.0517552805443605,14,0.0521032741349755,1946.59265158356
"4","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",4,"sgd",0.001,10,"val_loss",388298,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0395032542393259,0.040253243247128,0.0452041312149077,24,0.0459166821656805,361.158401940688
"5","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",5,"sgd",0.001,10,"val_loss",925390,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0413606436821916,0.0453230843616083,0.0534754804137981,15,0.0547876159350077,363.609823637306
"6","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",6,"sgd",0.001,10,"val_loss",865675,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0552803259646601,0.0799362880744688,0.0662207077398445,6,0.0604940244194233,188.128767733947
"7","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",7,"sgd",0.001,10,"val_loss",58775,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0509490130833634,0.0516932245708354,0.101060249362931,24,0.105762001239892,1061.93630872611
"8","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",8,"sgd",0.001,10,"val_loss",695995,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0443490404210499,0.0643153892546568,0.0874723019925031,8,0.0543954200816877,304.298614398987
"9","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",9,"sgd",0.001,10,"val_loss",791910,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0385654280265874,0.0403495887395642,0.0451206897921634,24,0.0424802076410164,789.326628591382
"10","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",10,"sgd",0.001,10,"val_loss",741770,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,0.0473169291432461,0.0477619673044461,0.0454896646692897,22,0.0456564899421099,442.116583351939
